"home_airport_lat","home_airport_lon","destination_airport_lat","destination_airport_lon","home_city","destination","haversine_distance"
"21.316","-157.927","22.309","113.914","honolulu","hong kong","28158.75013151715"
"21.316","-157.927","25.255","55.364","honolulu","dubai","22097.997703205274"
"21.316","-157.927","29.529","-98.279","honolulu","san antonio","6245.734040756553"
"21.316","-157.927","29.607","-95.159","honolulu","houston","6566.826677142852"
"21.316","-157.927","30.194","-97.67","honolulu","austin","6319.273564085884"
"21.316","-157.927","32.82","-97.362","honolulu","fort worth","6402.673270245068"
"21.316","-157.927","32.847","-96.852","honolulu","dallas","6455.040677735443"
"21.316","-157.927","33.535","-112.383","honolulu","phoenix","4909.3943546372575"
"21.316","-157.927","33.942","-118.408","honolulu","los angeles","4327.599311043205"
"21.316","-157.927","35.214","-80.943","honolulu","charlotte","8122.705368568058"
"21.316","-157.927","35.393","-97.601","honolulu","oklahoma city","6441.890739662738"
"21.316","-157.927","36.08","-115.152","honolulu","las vegas","4725.159866097132"
"21.316","-157.927","36.124","-86.678","honolulu","nashville","7561.729543701019"
"21.316","-157.927","36.901","30.792","honolulu","antalya","19625.03419271201"
"21.316","-157.927","37.362","-121.929","honolulu","san jose","4133.695282815786"
"21.316","-157.927","37.619","-122.375","honolulu","san francisco","4104.609600173176"
"21.316","-157.927","38.228","-85.664","honolulu","louisville","7717.918671256097"
"21.316","-157.927","38.852","-77.037","honolulu","washington","8602.832840896344"
"21.316","-157.927","39.175","-76.668","honolulu","baltimore","8648.240870123693"
"21.316","-157.927","39.872","-75.241","honolulu","philadelphia","8809.999266369125"
"21.316","-157.927","39.998","-82.892","honolulu","columbus","8045.261876367464"
"21.316","-157.927","40.64","-73.779","honolulu","new york","8977.352975520862"
"21.316","-157.927","41.786","-87.752","honolulu","chicago","7617.052926115493"
"21.316","-157.927","42.947","-87.896","honolulu","milwaukee","7642.458362617573"
"21.316","-157.927","43.173","-79.935","honolulu","hamilton","8436.394467214062"
"21.316","-157.927","43.862","-79.37","honolulu","toronto","8514.695373082428"
"21.316","-157.927","45.323","-75.669","honolulu","ottawa","8928.998230229987"
"21.316","-157.927","45.517","-73.417","honolulu","montreal","9158.183282441361"
"21.316","-157.927","45.589","-122.597","honolulu","portland","4547.210998984789"
"21.316","-157.927","50.056","-97.032","honolulu","winnipeg","7071.066644794161"
"21.316","-157.927","51.114","-114.02","honolulu","calgary","5626.958279961192"
"25.793","-80.291","29.529","-98.279","miami","san antonio","1848.14025907079"
"25.793","-80.291","30.194","-97.67","miami","austin","1807.3861962809574"
"25.793","-80.291","31.849","-106.38","miami","el paso","2697.277095690124"
"25.793","-80.291","32.82","-97.362","miami","fort worth","1879.1796382963873"
"25.793","-80.291","32.847","-96.852","miami","dallas","1834.1488731016086"
"25.793","-80.291","33.942","-118.408","miami","los angeles","3922.1403072300177"
"25.793","-80.291","35.042","-89.977","miami","memphis","1413.4795582874533"
"25.793","-80.291","38.228","-85.664","miami","louisville","1483.5983870243867"
"25.793","-80.291","39.175","-76.668","miami","baltimore","1531.5154926641833"
"25.793","-80.291","39.858","-104.667","miami","denver","2898.4802708947122"
"25.793","-80.291","39.998","-82.892","miami","columbus","1600.7751467489468"
"25.793","-80.291","40.64","-73.779","miami","new york","1774.9068658450453"
"25.793","-80.291","41.786","-87.752","miami","chicago","1928.768843311837"
"25.793","-80.291","42.409","-83.01","miami","detroit","1867.4786585727993"
"25.793","-80.291","42.947","-87.896","miami","milwaukee","2053.6980444721808"
"25.793","-80.291","45.323","-75.669","miami","ottawa","2220.2939066517006"
"25.793","-80.291","45.517","-73.417","miami","montreal","2298.5505547470048"
"25.793","-80.291","47.53","-122.302","miami","seattle","4850.883927447964"
"25.793","-80.291","50.056","-97.032","miami","winnipeg","3176.0262945220275"
"25.862","-80.897","-29.97","30.95","miami","durban","12797.480540713883"
"25.862","-80.897","29.529","-98.279","miami","san antonio","1786.3226464041995"
"25.862","-80.897","33.535","-112.383","miami","phoenix","3263.8319106430276"
"25.862","-80.897","33.942","-118.408","miami","los angeles","3859.2176605751597"
"25.862","-80.897","35.214","-80.943","miami","charlotte","1039.8590658291234"
"25.862","-80.897","35.393","-97.601","miami","oklahoma city","1978.9935794476294"
"25.862","-80.897","36.124","-86.678","miami","nashville","1279.2673982908639"
"25.862","-80.897","37.362","-121.929","miami","san jose","4300.002705531694"
"25.862","-80.897","37.619","-122.375","miami","san francisco","4351.1289306439785"
"25.862","-80.897","39.872","-75.241","miami","philadelphia","1657.3812732601089"
"25.862","-80.897","39.998","-82.892","miami","columbus","1584.4061025362846"
"25.862","-80.897","40.64","-73.779","miami","new york","1790.870467735642"
"25.862","-80.897","41.786","-87.752","miami","chicago","1898.7945178018556"
"25.862","-80.897","42.364","-71.005","miami","boston","2084.7799099765866"
"25.862","-80.897","43.862","-79.37","miami","toronto","2007.2431982926541"
"25.862","-80.897","45.517","-73.417","miami","montreal","2310.0372903344373"
"25.862","-80.897","51.114","-114.02","miami","calgary","4343.62905848632"
"25.862","-80.897","53.667","-113.467","miami","edmonton","4492.0018156718925"
"25.907","-97.426","29.607","-95.159","brownsville","houston","469.7481460675761"
"25.907","-97.426","32.699","-117.215","brownsville","san diego","2118.430489862207"
"25.907","-97.426","32.82","-97.362","brownsville","fort worth","768.6831227629934"
"25.907","-97.426","33.942","-118.408","brownsville","los angeles","2280.8265476455435"
"25.907","-97.426","36.776","-119.718","brownsville","fresno","2536.060697859927"
"25.907","-97.426","37.362","-121.929","brownsville","san jose","2761.944540750728"
"25.907","-97.426","37.619","-122.375","brownsville","san francisco","2814.707873219958"
"25.907","-97.426","38.228","-85.664","brownsville","louisville","1805.7558800683735"
