"user_id","bags","avg_hotel_nights","trips_booked","flights_booked","return_booked","hotels_booked","packages_booked","cancellations","f_discount","h_discount","total_sessions","avg_room_price","avg_flight_price","avg_flight_discount","avg_room_discount","f_discount_per","h_discount_per","avg_clicks","session_in_seconds","avg_distance","trips_ratio","trips_per_click","clicks_per_session","cancellations_ratio","flights_ratio","hotels_ratio","packages_per_session","f_discounted_price","h_discounted_price","return_ratio","f_discount_ratio","h_discount_ratio","package_per_trip","bags_per_flight","price_per_km","discount_per_km"
"23557","","10.0000000000000000","2","0","0","2","0","0","0","2","8","177.00","","","65.75","","0.17500000000000000000","10.25","76.625","","0.25","0.20","1.28","0.00","0.00","0.25","0.00","","146.03","","0.00","0.25","0.00","","",""
"94883","1","0.50000000000000000000","2","2","2","2","2","0","0","1","8","90.00","432.05","","","","0.10000000000000000000","9.13","67.75","1451","0.25","0.22","1.14","0.00","0.25","0.25","0.25","","81.00","1.00","0.00","0.13","1.00","0.50","0.29776016540317024",""
"101486","0","4.0000000000000000","2","1","1","2","1","0","2","0","8","198.50","189.91","","","0.07500000000000000000","","16.38","122.25","996","0.25","0.12","2.05","0.00","0.13","0.25","0.13","175.67","","1.00","0.25","0.00","0.50","0.00","0.1906726907630522",""
"101961","2","3.8000000000000000","5","5","5","5","5","0","2","1","8","136.00","248.53","4.97","","0.15000000000000000000","0.10000000000000000000","15.75","117.75","1367","0.63","0.32","1.97","0.00","0.63","0.63","0.63","211.25","122.40","1.00","0.25","0.13","1.00","0.40","0.1818068763716167","0.0036356986100950987"
"106907","10","11.0000000000000000","2","2","2","2","2","1","1","1","8","129.00","13902.06","","","","","30.00","309","12797","0.25","0.07","3.75","0.13","0.25","0.25","0.25","","","1.00","0.13","0.13","1.00","5.00","1.0863530514964443",""
"118043","3","5.5000000000000000","5","3","3","4","2","0","2","3","8","227.25","779.76","","16.80","0.20000000000000000000","0.11666666666666666667","20.50","153.125","2505","0.63","0.24","2.56","0.00","0.38","0.50","0.25","623.81","200.74","1.00","0.25","0.38","0.40","1.00","0.3112814371257485",""
"120851","0","11.0000000000000000","1","1","1","1","1","0","2","0","8","182.00","384.68","","","0.22500000000000000000","","6.88","51.75","2260","0.13","0.15","0.86","0.00","0.13","0.13","0.13","298.13","","1.00","0.25","0.00","1.00","0.00","0.170212389380531",""
"125845","2","1.6666666666666667","3","3","3","3","3","0","1","1","9","123.67","584.44","106.56","","0.15000000000000000000","0.05000000000000000000","17.67","131.77777777777777","2862","0.33","0.17","1.96","0.00","0.33","0.33","0.33","496.77","117.49","1.00","0.11","0.11","1.00","0.67","0.20420684835779176","0.03723270440251573"
"133058","0","","1","1","1","0","0","0","0","1","8","","423.51","","","","0.05000000000000000000","9.13","68.125","2887","0.13","0.11","1.14","0.00","0.13","0.00","0.00","","","1.00","0.00","0.13","0.00","0.00","0.14669553169379979",""
"149058","2","5.0000000000000000","5","5","5","5","5","0","1","0","8","168.60","385.73","9.53","","0.05000000000000000000","","17.75","131.75","1960","0.63","0.28","2.22","0.00","0.63","0.63","0.63","366.44","","1.00","0.13","0.00","1.00","0.40","0.19680102040816327","0.0048622448979591835"
"152583","2","2.0000000000000000","1","1","1","1","1","0","1","1","8","213.00","367.83","","","0.15000000000000000000","0.15000000000000000000","18.63","139","2266","0.13","0.05","2.33","0.00","0.13","0.13","0.13","312.66","181.05","1.00","0.13","0.13","1.00","2.00","0.16232568402471315",""
"153982","1","1.3333333333333333","3","3","3","3","3","0","0","1","8","207.00","218.96","","","","0.15000000000000000000","18.75","138.5","1344","0.38","0.16","2.34","0.00","0.38","0.38","0.38","","175.95","1.00","0.00","0.13","1.00","0.33","0.16291666666666668",""
"160754","1","2.0000000000000000","1","1","1","1","1","0","0","0","8","214.00","93.62","","","","","10.75","80.875","528","0.13","0.09","1.34","0.00","0.13","0.13","0.13","","","1.00","0.00","0.00","1.00","1.00","0.17731060606060606",""
