user_id,bags,avg_hotel_nights,trips_booked,flights_booked,return_booked,hotels_booked,packages_booked,cancellations,f_discount,h_discount,total_sessions,avg_room_price,avg_flight_price,avg_flight_discount,avg_room_discount,f_discount_per,h_discount_per,avg_clicks,session_in_seconds,avg_distance,trips_ratio,trips_per_click,clicks_per_session,cancellations_ratio,flights_ratio,hotels_ratio,packages_per_session,f_discounted_price,h_discounted_price,return_ratio,f_discount_ratio,h_discount_ratio,package_per_trip,bags_per_flight,price_per_km,discount_per_km,clusters
23557,,10.0,2,0,0,2,0,0,0,2,8,177.0,,,65.75,,0.175,10.25,76.625,,0.25,0.2,1.28,0.0,0.0,0.25,0.0,,146.03,,0.0,0.25,0.0,,,,1
94883,1.0,0.5,2,2,2,2,2,0,0,1,8,90.0,432.05,,,,0.1,9.13,67.75,1451.0,0.25,0.22,1.14,0.0,0.25,0.25,0.25,,81.0,1.0,0.0,0.13,1.0,0.5,0.2977601654031702,,4
101486,0.0,4.0,2,1,1,2,1,0,2,0,8,198.5,189.91,,,0.075,,16.38,122.25,996.0,0.25,0.12,2.05,0.0,0.13,0.25,0.13,175.67,,1.0,0.25,0.0,0.5,0.0,0.1906726907630522,,4
101961,2.0,3.8,5,5,5,5,5,0,2,1,8,136.0,248.53,4.97,,0.15,0.1,15.75,117.75,1367.0,0.63,0.32,1.97,0.0,0.63,0.63,0.63,211.25,122.4,1.0,0.25,0.13,1.0,0.4,0.1818068763716167,0.003635698610095,2
106907,10.0,11.0,2,2,2,2,2,1,1,1,8,129.0,13902.06,,,,,30.0,309.0,12797.0,0.25,0.07,3.75,0.13,0.25,0.25,0.25,,,1.0,0.13,0.13,1.0,5.0,1.0863530514964443,,0
118043,3.0,5.5,5,3,3,4,2,0,2,3,8,227.25,779.76,,16.8,0.2,0.1166666666666666,20.5,153.125,2505.0,0.63,0.24,2.56,0.0,0.38,0.5,0.25,623.81,200.74,1.0,0.25,0.38,0.4,1.0,0.3112814371257485,,2
120851,0.0,11.0,1,1,1,1,1,0,2,0,8,182.0,384.68,,,0.225,,6.88,51.75,2260.0,0.13,0.15,0.86,0.0,0.13,0.13,0.13,298.13,,1.0,0.25,0.0,1.0,0.0,0.170212389380531,,4
125845,2.0,1.6666666666666667,3,3,3,3,3,0,1,1,9,123.67,584.44,106.56,,0.15,0.05,17.67,131.77777777777777,2862.0,0.33,0.17,1.96,0.0,0.33,0.33,0.33,496.77,117.49,1.0,0.11,0.11,1.0,0.67,0.2042068483577917,0.0372327044025157,2
133058,0.0,,1,1,1,0,0,0,0,1,8,,423.51,,,,0.05,9.13,68.125,2887.0,0.13,0.11,1.14,0.0,0.13,0.0,0.0,,,1.0,0.0,0.13,0.0,0.0,0.1466955316937997,,1
149058,2.0,5.0,5,5,5,5,5,0,1,0,8,168.6,385.73,9.53,,0.05,,17.75,131.75,1960.0,0.63,0.28,2.22,0.0,0.63,0.63,0.63,366.44,,1.0,0.13,0.0,1.0,0.4,0.1968010204081632,0.0048622448979591,2
152583,2.0,2.0,1,1,1,1,1,0,1,1,8,213.0,367.83,,,0.15,0.15,18.63,139.0,2266.0,0.13,0.05,2.33,0.0,0.13,0.13,0.13,312.66,181.05,1.0,0.13,0.13,1.0,2.0,0.1623256840247131,,4
153982,1.0,1.3333333333333333,3,3,3,3,3,0,0,1,8,207.0,218.96,,,,0.15,18.75,138.5,1344.0,0.38,0.16,2.34,0.0,0.38,0.38,0.38,,175.95,1.0,0.0,0.13,1.0,0.33,0.1629166666666666,,2
160754,1.0,2.0,1,1,1,1,1,0,0,0,8,214.0,93.62,,,,,10.75,80.875,528.0,0.13,0.09,1.34,0.0,0.13,0.13,0.13,,,1.0,0.0,0.0,1.0,1.0,0.177310606060606,,4
164522,1.0,13.0,1,1,1,1,1,0,2,1,8,233.0,328.32,16.42,,0.05,0.05,11.13,83.375,1808.0,0.13,0.09,1.39,0.0,0.13,0.13,0.13,311.9,221.35,1.0,0.25,0.13,1.0,1.0,0.1815929203539823,0.0090818584070796,4
167852,,,0,0,0,0,0,0,1,2,8,,,,,0.1,0.1,7.88,58.0,,0.0,0.0,0.99,0.0,0.0,0.0,0.0,,,,0.13,0.25,,,,,1
171470,1.0,,3,3,3,2,2,2,3,2,8,,3679.36,287.83,,0.1,,55.75,42.5,17604.0,0.38,0.05,6.97,0.25,0.38,0.25,0.25,3311.42,,1.0,0.38,0.25,0.67,0.33,0.2090070438536696,0.016350261304249,0
174997,1.0,2.0,3,3,3,3,3,1,1,3,8,112.0,1075.5,,,,0.125,31.5,91.75,3938.0,0.38,0.1,3.94,0.13,0.38,0.38,0.38,,98.0,1.0,0.13,0.38,1.0,0.33,0.2731081767394616,,3
175032,1.0,4.333333333333333,3,2,2,3,2,0,1,2,9,139.0,554.63,,22.65,0.3,0.1,14.11,104.33333333333331,1395.0,0.33,0.21,1.57,0.0,0.22,0.33,0.22,388.24,125.1,1.0,0.11,0.22,0.67,0.5,0.397584229390681,,4
181157,3.0,3.333333333333333,3,3,3,3,3,0,2,1,8,162.33,346.48,80.4,15.6,0.175,0.15,19.13,141.125,1213.0,0.38,0.16,2.39,0.0,0.38,0.38,0.38,285.85,137.98,1.0,0.25,0.13,1.0,1.0,0.285638911788953,0.0662819455894476,2
182191,1.0,,1,1,1,1,1,1,1,2,8,,537.67,,,,0.1,18.5,215.875,1671.0,0.13,0.05,2.31,0.13,0.13,0.13,0.13,,,1.0,0.13,0.25,1.0,1.0,0.3217654099341711,,4
187212,2.0,2.0,3,3,3,3,3,0,1,1,8,217.33,414.19,,,0.3999999999999999,0.1,16.0,118.75,2466.0,0.38,0.19,2.0,0.0,0.38,0.38,0.38,248.51,195.6,1.0,0.13,0.13,1.0,0.67,0.1679602595296025,,2
189676,2.0,9.0,2,1,1,2,1,0,1,0,8,180.5,1244.31,,,0.15,,11.63,86.375,2351.0,0.25,0.17,1.45,0.0,0.13,0.25,0.13,1057.66,,1.0,0.13,0.0,0.5,2.0,0.5292683964270523,,4
190866,2.0,1.8,5,5,5,5,5,0,0,1,9,169.2,416.2,,,,0.05,20.67,153.88888888888889,2424.0,0.56,0.24,2.3,0.0,0.56,0.56,0.56,,160.74,1.0,0.0,0.11,1.0,0.4,0.1716996699669967,,2
195192,0.0,1.0,1,1,1,1,1,0,1,1,8,160.0,394.29,,,0.1,0.1,28.13,208.375,1166.0,0.13,0.04,3.52,0.0,0.13,0.13,0.13,354.86,144.0,1.0,0.13,0.13,1.0,0.0,0.338156089193825,,4
204943,9.0,6.857142857142857,7,7,7,7,7,1,3,1,8,191.57,475.97,26.76,,0.15,,36.5,143.5,1834.0,0.88,0.19,4.56,0.13,0.88,0.88,0.88,404.57,,1.0,0.38,0.13,1.0,1.29,0.259525627044711,0.0145910577971646,3
204997,3.0,4.5,5,5,5,4,4,2,3,4,8,152.25,991.13,120.82,8.3,0.25,0.1,54.88,499.25,3181.0,0.63,0.09,6.86,0.25,0.63,0.5,0.5,743.35,137.03,1.0,0.38,0.5,0.8,0.6,0.3115781200880226,0.0379817667400188,3
205044,1.0,4.666666666666666,3,3,3,3,3,0,1,0,9,249.33,916.12,27.65,,0.05,,14.89,110.33333333333331,2397.0,0.33,0.2,1.65,0.0,0.33,0.33,0.33,870.31,,1.0,0.11,0.0,1.0,0.33,0.3821944096787651,0.0115352523988318,2
206011,1.0,2.666666666666667,4,4,4,3,3,0,1,2,8,113.33,261.65,21.82,,0.05,0.2,19.5,146.125,1452.0,0.5,0.21,2.44,0.0,0.5,0.38,0.38,248.57,90.66,1.0,0.13,0.25,0.75,0.25,0.1801997245179063,0.0150275482093663,2
216796,4.0,10.0,2,2,2,2,2,1,4,2,8,241.0,2500.87,625.22,,0.1666666666666666,0.1,15.63,491.375,7495.0,0.25,0.13,1.95,0.13,0.25,0.25,0.25,2084.06,216.9,1.0,0.5,0.25,1.0,2.0,0.3336717811874582,0.0834182788525683,0
217114,,,0,0,0,0,0,0,1,3,9,,,,,0.05,0.15,6.56,49.888888888888886,,0.0,0.0,0.73,0.0,0.0,0.0,0.0,,,,0.11,0.33,,,,,1
217136,0.0,2.0,2,1,1,2,1,0,2,0,8,236.5,539.57,,,0.175,,13.25,99.375,3095.0,0.25,0.15,1.66,0.0,0.13,0.25,0.13,445.15,,1.0,0.25,0.0,0.5,0.0,0.1743360258481421,,4
220725,1.0,3.75,5,5,5,4,4,1,2,2,9,125.0,484.58,,,0.15,0.05,35.11,148.88888888888889,2764.0,0.56,0.14,3.9,0.11,0.56,0.44,0.44,411.89,118.75,1.0,0.22,0.22,0.8,0.2,0.1753183791606367,,3
224996,0.0,0.0,2,2,2,1,1,0,0,1,8,231.0,448.81,,,,0.1,12.75,94.625,2488.0,0.25,0.16,1.59,0.0,0.25,0.13,0.13,,207.9,1.0,0.0,0.13,0.5,0.0,0.1803898713826366,,4
226367,2.0,1.6666666666666667,3,3,3,3,3,0,1,0,8,253.0,296.4,5.61,,0.05,,14.25,105.5,1633.0,0.38,0.21,1.78,0.0,0.38,0.38,0.38,281.58,,1.0,0.13,0.0,1.0,0.67,0.1815064298836497,0.003435394978567,2
228195,,,0,0,0,0,0,0,1,0,9,,,,,0.2,,12.89,95.77777777777776,,0.0,0.0,1.43,0.0,0.0,0.0,0.0,,,,0.11,0.0,,,,,1
228872,1.0,6.5,2,1,1,2,1,0,1,0,8,94.0,509.21,,,0.35,,15.75,118.0,2954.0,0.25,0.13,1.97,0.0,0.13,0.25,0.13,330.99,,1.0,0.13,0.0,0.5,1.0,0.1723798239675016,,4
229009,1.0,1.5,4,4,4,3,3,1,1,1,8,149.5,1127.22,,,,,18.0,264.875,12191.0,0.5,0.22,2.25,0.13,0.5,0.38,0.38,,,1.0,0.13,0.13,0.75,0.25,0.0924632925928964,,3
229108,0.0,,2,2,2,1,1,1,3,3,8,,438.61,,,0.2,0.1,40.13,112.25,2511.0,0.25,0.05,5.02,0.13,0.25,0.13,0.13,350.89,,1.0,0.38,0.38,0.5,0.0,0.1746754281162883,,3
229330,1.0,1.5,4,4,4,4,4,0,0,1,8,209.25,387.03,,,,0.1,16.13,119.625,1176.0,0.5,0.25,2.02,0.0,0.5,0.5,0.5,,188.33,1.0,0.0,0.13,1.0,0.25,0.3291071428571428,,2
232647,1.0,11.0,2,1,1,1,0,0,1,0,8,213.0,237.1,,,0.1,,12.5,93.875,1437.0,0.25,0.16,1.56,0.0,0.13,0.13,0.0,213.39,,1.0,0.13,0.0,0.0,1.0,0.1649965205288796,,4
249521,1.0,1.5,2,1,1,2,1,0,1,3,8,141.5,642.02,,10.8,0.2,0.1333333333333333,18.88,140.625,3740.0,0.25,0.11,2.36,0.0,0.13,0.25,0.13,513.62,122.63,1.0,0.13,0.38,0.5,1.0,0.171663101604278,,4
252835,3.0,2.75,5,5,5,4,4,0,1,1,8,132.75,335.31,60.92,,0.3,0.05,14.63,108.25,1859.0,0.63,0.34,1.83,0.0,0.63,0.5,0.5,234.72,126.11,1.0,0.13,0.13,0.8,0.6,0.1803711672942442,0.0327703066164604,2
258451,,13.0,2,1,0,2,1,1,2,1,8,178.0,,,,0.15,,20.88,219.875,,0.25,0.1,2.61,0.13,0.13,0.25,0.13,,,0.0,0.25,0.13,0.5,,,,1
264470,1.0,4.5,2,2,2,2,2,0,1,1,8,200.0,436.51,37.8,,0.05,0.1,14.75,111.0,2392.0,0.25,0.14,1.84,0.0,0.25,0.25,0.25,414.68,180.0,1.0,0.13,0.13,1.0,0.5,0.1824874581939799,0.0158026755852842,4
276512,1.0,1.0,1,1,1,1,1,0,2,2,8,100.0,395.69,,,0.125,0.125,12.25,91.375,2409.0,0.13,0.08,1.53,0.0,0.13,0.13,0.13,346.23,87.5,1.0,0.25,0.25,1.0,1.0,0.1642548775425487,,4
281952,3.0,1.0,2,2,2,2,2,0,0,1,8,131.5,342.36,,26.7,,0.15,19.75,146.375,1967.0,0.25,0.1,2.47,0.0,0.25,0.25,0.25,,111.78,1.0,0.0,0.13,1.0,1.5,0.1740518556176919,,4
283325,0.0,3.0,2,1,1,2,1,0,2,1,8,360.5,453.27,45.33,,0.075,0.1,14.25,105.625,2838.0,0.25,0.14,1.78,0.0,0.13,0.25,0.13,419.27,324.45,1.0,0.25,0.13,0.5,0.0,0.1597145877378435,0.0159725158562367,4
290123,6.0,2.166666666666667,7,7,6,6,6,0,0,0,9,240.0,685.16,,,,,21.11,155.88888888888889,2533.0,0.78,0.33,2.35,0.0,0.78,0.67,0.67,,,0.86,0.0,0.0,0.86,0.86,0.270493485984998,,2
297546,3.0,5.2,5,4,4,5,4,0,0,1,8,106.0,415.18,,6.0,,0.05,25.88,192.875,1773.0,0.63,0.19,3.24,0.0,0.5,0.63,0.5,,100.7,1.0,0.0,0.13,0.8,0.75,0.2341680767061477,,2
298253,2.0,,1,1,1,0,0,0,2,1,8,,712.42,,,0.225,0.15,12.25,91.75,4184.0,0.13,0.08,1.53,0.0,0.13,0.0,0.0,552.13,,1.0,0.25,0.13,0.0,2.0,0.1702724665391969,,4
299476,0.0,1.0,1,1,1,1,1,0,2,2,9,71.0,192.38,,,0.2,0.125,20.78,154.11111111111111,1090.0,0.11,0.05,2.31,0.0,0.11,0.11,0.11,153.9,62.13,1.0,0.22,0.22,1.0,0.0,0.1764954128440367,,4
306165,,,0,0,0,0,0,0,0,0,8,,,,,,,11.13,82.5,,0.0,0.0,1.39,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,1
306819,1.0,1.0,3,3,3,3,3,1,2,2,8,298.67,90.05,,,0.05,0.05,41.13,161.875,492.0,0.38,0.07,5.14,0.13,0.38,0.38,0.38,85.55,283.74,1.0,0.25,0.25,1.0,0.33,0.1830284552845528,,3
312488,1.0,0.0,1,1,1,1,1,0,1,1,8,299.0,407.1,,,0.25,0.2,9.5,71.0,2172.0,0.13,0.11,1.19,0.0,0.13,0.13,0.13,305.33,239.2,1.0,0.13,0.13,1.0,1.0,0.1874309392265193,,4
