user_id,married,gender,has_children,group_age,bags,trips_booked,flights_booked,return_booked,hotels_booked,packages_booked,cancellations,total_sessions,avg_room_price,avg_scaled_room_price,avg_flight_price,avg_flight_discount,avg_scaled_flight_price,f_discount,h_discount,f_discount_per,h_discount_per,avg_clicks,avg_scaled_clicks,avg_distance,avg_scaled_distance_km,avg_session_in_seconds,avg_scaled_session_in_seconds,trips_ratio,trips_per_click,cancellations_ratio,flights_ratio,hotels_ratio,packages_per_session,f_discounted_price,return_ratio,f_discount_ratio,h_discount_ratio,package_per_trip,bags_per_flight,price_per_km,discount_per_km,scaled_bags_per_flight,scaled_price_per_km,scaled_discount_per_km,scaled_trips_per_click,free_hotel_meal,free_checked_bag,no_cancellation_fee,exclusive_discounts,1_night_free_hotel_with_flight,segmentation
514526,True,F,True,41-55,2.0,5,5,5,5,5,0,8,216.75,0.506979695431472,327.48,52.42,0.1147268819329495,3,1,0.2,0.1,31.75,0.125,1835.6,0.1716174110093475,236.5,0.4866255144032921,0.63,0.16,0.0,0.63,0.63,0.63,261.98,1.0,0.38,0.13,1.0,0.4,0.1784048812377424,0.0285574199171932,0.0705467372134038,0.0506980428294351,0.0699906407384355,0.2580645161290322,0.5,0.2296216109444668,0.24663371484939262,0.41629959608512024,0.5651523760206865,1 night free hotel with flight
527253,False,F,False,41-55,3.0,6,5,5,5,4,0,8,163.4,0.3715736040609137,278.9,,0.0975813424907972,1,0,0.3,,31.43,0.1428571428571428,1507.8,0.1406666037201397,233.28571428571428,0.4800117577895355,0.75,0.19,0.0,0.63,0.63,0.5,195.23,1.0,0.13,0.0,0.67,0.6,0.1849714816288632,,0.1058201058201058,0.0528021307887266,,0.3064516129032258,0.3125,0.24599129065063452,0.2618646754635835,0.33304412206303624,0.4310299317106143,1 night free hotel with flight
572290,False,F,False,41-55,1.0,6,6,6,6,6,0,8,154.67,0.3494077834179357,340.82,,0.1194358465771861,0,2,,0.1,30.88,0.0,1768.0,0.1652346331791143,230.875,0.4750514403292181,0.75,0.19,0.0,0.75,0.75,0.75,,1.0,0.0,0.25,1.0,0.17,0.1927714932126696,,0.0299823633156966,0.0553014317174101,,0.3064516129032258,0.3125,0.17047301716728996,0.4750514403292181,0.9446985682825899,0.5119138966305289,Exclusive discounts
559695,True,F,True,55+,3.0,5,4,4,4,3,1,8,153.25,0.3458121827411167,427.66,,0.1500843512541513,1,2,,0.1,34.29,0.0,2358.5,0.2209895194032669,229.5,0.4722222222222221,0.63,0.15,0.13,0.5,0.5,0.38,,1.0,0.13,0.25,0.6,0.75,0.1813271146915412,,0.1322751322751322,0.0516343928215392,,0.2419354838709677,0.4375,0.3080467472422323,0.2477678124553084,0.3511232389535046,0.36250328197359033,Free hotel meal
528942,True,F,True,55+,3.0,6,6,5,6,6,0,8,131.0,0.2893401015228426,279.39,,0.0977545154979253,1,0,0.3,,30.75,0.0,1718.0,0.160513643659711,228.75,0.470679012345679,0.75,0.2,0.0,0.75,0.75,0.75,195.57,0.83,0.13,0.0,1.0,0.5,0.1626251455180442,,0.0881834215167548,0.0456418569872884,,0.3225806451612903,0.4375,0.22733117520230905,0.470679012345679,0.3338812239090565,0.4658380363840333,No cancellation fee
515694,False,F,False,41-55,3.0,6,6,6,6,6,0,8,194.25,0.4498730964467005,299.0,15.36,0.1046767299948118,3,0,0.05,,30.63,0.0,1708.67,0.1596323922827557,227.875,0.4688786008230452,0.75,0.2,0.0,0.75,0.75,0.75,284.05,1.0,0.38,0.0,1.0,0.5,0.1749899044285906,0.0089894479331878,0.0881834215167548,0.0496038066710856,0.0214573104175996,0.3225806451612903,0.3125,0.24145488106518617,0.4688786008230452,0.262353037244846,0.5808655802636488,1 night free hotel with flight
512655,False,F,False,41-55,1.0,4,4,4,3,3,0,9,155.33,0.3510998307952622,332.88,298.09,0.1166341379054771,2,1,0.2,0.15,30.44,0.0,1182.0,0.109904636011708,225.44444444444449,0.4638774577046182,0.44,0.13,0.0,0.44,0.33,0.33,266.3,1.0,0.22,0.11,0.75,0.25,0.2816243654822335,0.2521912013536379,0.0440917107583774,0.0837719107408716,0.6246568163760639,0.2096774193548387,0.3125,0.1692223235783395,0.4638774577046182,0.3428878471435641,0.3403864629541494,No cancellation fee
653281,False,F,False,26-40,1.0,4,4,4,4,4,0,8,151.25,0.340736040609137,269.75,6.46,0.0943525247142115,1,1,0.1,0.1,30.13,0.125,1388.25,0.1293787177792465,225.375,0.4637345679012346,0.5,0.13,0.0,0.5,0.5,0.5,242.78,1.0,0.13,0.13,1.0,0.25,0.1943093823158652,0.0046533405366468,0.0440917107583774,0.0557942063271054,0.0107027093401372,0.2096774193548387,0.1875,0.17867889753098512,0.24076299754666272,0.23067649171918983,0.41275661146075965,1 night free hotel with flight
480186,False,F,False,17-25,,1,0,0,1,0,0,9,252.0,0.5964467005076142,,,,0,1,,0.1,30.0,0.0,,,221.77777777777777,0.4563328760859624,0.11,0.03,0.0,0.0,0.11,0.0,,,0.0,0.11,0.0,,,,,,,0.0483870967741935,0.125,0.0,0.4563328760859624,0.0,0.0,No cancellation fee
535007,False,F,False,41-55,1.0,7,7,7,7,7,1,8,174.0,0.398477157360406,349.71,,0.1225745232994499,1,3,,0.1,26.86,0.0,1834.0,0.1714663393447266,220.66666666666663,0.4540466392318245,0.88,0.26,0.13,0.88,0.88,0.88,,1.0,0.13,0.38,1.0,0.14,0.1906815703380588,,0.0246913580246913,0.0546317729450776,,0.4193548387096774,0.3125,0.16177371207776337,0.24295280014878853,0.35056792425597055,0.5921654316803349,1 night free hotel with flight
545981,False,F,False,26-40,1.0,5,3,3,5,3,0,8,148.25,0.3331218274111675,166.75,13.73,0.0580011929173181,2,0,0.1,,29.38,0.0,747.67,0.068894973719825,216.75,0.4459876543209876,0.63,0.17,0.0,0.38,0.63,0.38,150.08,1.0,0.25,0.0,0.6,0.33,0.2230262013990129,0.0183637166129442,0.0582010582010582,0.0649957276110421,0.0447077769821861,0.2741935483870967,0.1875,0.15886911390506872,0.4459876543209876,0.2859243887432022,0.3557896772199043,No cancellation fee
589758,True,F,False,41-55,2.0,5,4,4,5,4,0,8,121.4,0.2649746192893401,466.76,32.52,0.1638840752596712,2,0,0.05,,29.13,0.0,2677.0,0.2510622226418657,214.25,0.440843621399177,0.63,0.17,0.0,0.5,0.63,0.5,443.42,1.0,0.25,0.0,0.8,0.5,0.1743593574897273,0.0121479267837131,0.0881834215167548,0.049401765105769,0.0292911062493402,0.2741935483870967,0.3125,0.2807950439790716,0.440843621399177,0.2281930109762845,0.36398806250297555,No cancellation fee
568931,True,F,True,41-55,4.0,6,6,6,4,4,1,8,149.33,0.3358714043993231,240.22,,0.0839324389982788,1,1,,,32.43,0.0,1243.0,0.11566424322538,212.5,0.4372427983539094,0.75,0.19,0.13,0.75,0.5,0.5,,1.0,0.13,0.13,0.67,0.67,0.1932582461786001,,0.1181657848324514,0.0554573984267821,,0.3064516129032258,0.5,0.23909121637269257,0.23841468869599503,0.35041480876886233,0.4097995878471104,Free hotel meal
577145,False,F,False,41-55,6.0,6,4,4,5,3,0,9,126.2,0.2771573604060913,385.78,15.52,0.1353034704011802,1,0,0.1,,28.56,0.0,1393.0,0.1298272117835898,211.33333333333331,0.4348422496570645,0.67,0.21,0.0,0.44,0.56,0.33,347.2,1.0,0.11,0.0,0.5,1.5,0.2769418521177315,0.0111414213926776,0.2645502645502645,0.0822715270716,0.0267947280527262,0.3387096774193548,0.3125,0.3250558427851409,0.4348422496570645,0.21612365178151666,0.30242673316691127,No cancellation fee
750982,False,F,False,41-55,3.0,4,4,3,4,4,0,8,99.5,0.2093908629441624,358.1,,0.1255360186913908,2,0,0.225,,23.0,0.0,2187.75,0.2048673401945047,210.25,0.4326131687242798,0.5,0.17,0.0,0.5,0.5,0.5,277.53,0.75,0.25,0.0,1.0,0.75,0.1636841503828133,,0.1322751322751322,0.0459811862066825,,0.2741935483870967,0.3125,0.2729003330147057,0.4326131687242798,0.37718969755135767,0.32356673418644444,No cancellation fee
525769,False,F,False,26-40,3.0,6,5,5,5,4,0,8,228.0,0.5355329949238578,266.36,,0.0931555486537328,1,0,0.05,,28.25,0.0,1513.0,0.1411575866301576,209.5,0.4310699588477366,0.75,0.21,0.0,0.63,0.63,0.5,253.04,1.0,0.13,0.0,0.67,0.6,0.1760475875743555,,0.1058201058201058,0.0499427123816811,,0.3387096774193548,0.1875,0.24627716108875003,0.4310699588477366,0.18346548927697812,0.5174615903252423,1 night free hotel with flight
529678,False,F,False,26-40,2.0,3,3,3,3,3,0,9,226.0,0.5304568527918782,692.69,48.83,0.2436245392739204,2,1,0.15,0.15,28.11,0.0,2452.0,0.229817769804551,208.88888888888889,0.4298125285779606,0.33,0.11,0.0,0.33,0.33,0.33,588.79,1.0,0.22,0.11,1.0,0.67,0.2825,0.0199143556280587,0.1181657848324514,0.084052483934889,0.0485537389239981,0.1774193548387096,0.1875,0.30057887170450975,0.4298125285779606,0.3115024807882515,0.4183906803710138,No cancellation fee
450164,True,F,False,26-40,2.0,5,5,5,5,5,0,11,124.6,0.2730964467005076,363.61,,0.1274812150815807,0,1,,0.05,24.3,0.0,1568.8,0.1464262109338117,208.72727272727272,0.4294799850355406,0.45,0.21,0.0,0.45,0.45,0.45,,1.0,0.0,0.09,1.0,0.4,0.2317758796532381,,0.0705467372134038,0.0677993233174724,,0.3387096774193548,0.1875,0.21778698312108427,0.4294799850355406,0.9322006766825276,0.35056155096534536,Exclusive discounts
619079,False,M,False,41-55,3.0,5,5,5,5,5,1,8,113.4,0.2446700507614213,329.97,,0.1156056878862422,1,1,,,32.67,0.1666666666666666,2021.0,0.1891228401472948,208.42857142857144,0.4288653733098177,0.63,0.15,0.13,0.63,0.63,0.63,,1.0,0.13,0.13,1.0,0.6,0.1632706580900544,,0.1058201058201058,0.0458486938814863,,0.2419354838709677,0.3125,0.2715005565883254,0.21023468161688258,0.3521926600532822,0.39260938855266236,1 night free hotel with flight
549450,True,F,True,41-55,10.0,2,2,2,1,1,1,8,,,,,,1,3,,0.125,28.14,0.0,,,208.28571428571428,0.4285714285714285,0.25,0.07,0.13,0.25,0.13,0.13,,1.0,0.13,0.38,0.5,5.0,,,0.8818342151675485,,,0.1129032258064516,0.5,0.9390602830316851,0.23603873774083292,0.13,0.13,Free checked bag
536659,False,F,False,41-55,4.0,6,6,6,6,6,0,8,133.0,0.2944162436548223,167.79,,0.0583688326233475,0,1,,0.1,28.0,0.0,627.83,0.0575803355049885,208.125,0.4282407407407408,0.75,0.21,0.0,0.75,0.75,0.75,,1.0,0.0,0.13,1.0,0.67,0.2672538744564611,,0.1181657848324514,0.0791672789168733,,0.3387096774193548,0.3125,0.18949102498655573,0.4282407407407408,0.9208327210831267,0.46990656809744286,Exclusive discounts
574680,False,F,False,41-55,1.0,2,1,1,2,1,0,8,309.5,0.7423857868020304,574.26,28.71,0.2018253752572007,4,0,0.1375,,28.0,0.0,3458.0,0.3248040789349447,208.125,0.4282407407407407,0.25,0.07,0.0,0.13,0.25,0.13,495.3,1.0,0.5,0.0,0.5,1.0,0.1660670908039329,0.0083024869866975,0.1763668430335097,0.0467447344583115,0.019753480170869,0.1129032258064516,0.3125,0.38548972369903833,0.4282407407407407,0.4031753501482082,0.3106608315901185,No cancellation fee
529205,False,F,False,26-40,4.0,6,6,6,6,6,1,8,173.67,0.3976311336717428,299.92,11.85,0.1050002529361177,2,2,0.1,0.05,26.2,0.0,1692.33,0.158090202373084,208.0,0.4279835390946501,0.75,0.23,0.13,0.75,0.75,0.75,269.93,1.0,0.25,0.25,1.0,0.67,0.1772231184225298,0.0070021804258034,0.1181657848324514,0.050319379173643,0.0165284036075029,0.3709677419354838,0.1875,0.2653376630177675,0.2358767900457875,0.2874126384421006,0.5460982972449255,1 night free hotel with flight
514167,False,F,False,41-55,1.0,4,4,4,4,4,1,8,92.5,0.1916243654822335,310.27,,0.1086542975022852,1,1,,,25.6,0.0,1743.0,0.1628741384194127,205.57142857142856,0.4229864785420341,0.5,0.16,0.13,0.5,0.5,0.5,,1.0,0.13,0.13,1.0,0.25,0.1780091795754446,,0.0440917107583774,0.0505712510264439,,0.2580645161290322,0.3125,0.19293144944120286,0.23449571895978066,0.3513199928363917,0.30953543051017074,Exclusive discounts
538438,False,F,False,41-55,1.0,3,3,3,3,3,0,8,73.0,0.1421319796954314,215.44,20.09,0.0751843786653678,1,1,0.1,0.1,27.38,0.0,1254.33,0.1167343341831114,205.25,0.4223251028806584,0.38,0.11,0.0,0.38,0.38,0.38,193.9,1.0,0.13,0.13,1.0,0.33,0.1717570336354866,0.0160165187789497,0.0582010582010582,0.0485679214177492,0.0388861554110432,0.1774193548387096,0.3125,0.18939848344283472,0.4223251028806584,0.23126347517098747,0.2324008439835448,No cancellation fee
531467,False,F,False,26-40,1.0,5,5,5,4,4,0,8,207.33,0.4830795262267343,579.15,,0.2035519289614207,1,1,0.05,0.1,27.88,0.0,2448.4,0.2294778585591539,204.75,0.4212962962962963,0.63,0.18,0.0,0.63,0.5,0.5,550.19,1.0,0.13,0.13,0.8,0.2,0.2365422316614932,,0.0352733686067019,0.069326570793027,,0.2903225806451612,0.1875,0.2007840646301467,0.4212962962962963,0.1822091674981378,0.49146695017403474,1 night free hotel with flight
557005,False,M,True,41-55,3.0,4,3,3,4,3,0,8,201.75,0.4689086294416243,104.23,,0.0359357518731978,2,0,0.225,,27.63,0.0,581.0,0.0531583419884807,204.625,0.4210390946502057,0.5,0.14,0.0,0.38,0.5,0.38,80.78,1.0,0.25,0.0,0.75,1.0,0.1793975903614457,,0.1763668430335097,0.0510161293871442,,0.2258064516129032,0.5,0.2108609324289429,0.4210390946502057,0.37652497289590336,0.4221199819812102,Free hotel meal
515131,True,F,False,41-55,3.0,5,5,4,5,5,0,9,172.6,0.3949238578680203,436.45,,0.1531868186165688,1,1,0.05,0.05,27.56,0.0,2512.2,0.2355018411859125,204.33333333333331,0.4204389574759946,0.56,0.18,0.0,0.56,0.56,0.56,414.63,0.8,0.11,0.11,1.0,0.6,0.1737321869277923,,0.1058201058201058,0.049200805408332,,0.2903225806451612,0.3125,0.27115492384926937,0.4204389574759946,0.1735736641547751,0.47027370796812723,1 night free hotel with flight
569300,False,F,False,55+,0.0,4,3,3,4,3,0,10,190.0,0.4390862944162436,429.07,,0.1505816942484679,0,2,,0.125,27.44,0.1111111111111111,1953.67,0.1827652409278318,204.0,0.419753086419753,0.4,0.15,0.0,0.3,0.4,0.3,,1.0,0.0,0.2,0.75,0.0,0.2196225565218281,,0.0,0.0639051224611577,,0.2419354838709677,0.4375,0.4275105155757362,0.21596118129056666,0.9360948775388422,0.3629406126694463,Exclusive discounts
518324,False,F,False,26-40,2.0,5,5,4,5,5,0,8,156.0,0.3527918781725888,192.48,13.27,0.0670814818997737,2,0,0.075,,27.25,0.0,1060.6,0.0984420734585969,201.625,0.4148662551440329,0.63,0.18,0.0,0.63,0.63,0.63,178.04,0.8,0.25,0.0,1.0,0.4,0.1814821798981708,0.012511785781633,0.0705467372134038,0.0516840792368441,0.030193565070862,0.2903225806451612,0.1875,0.1771125043591924,0.4148662551440329,0.26100656909773323,0.47144340407808333,1 night free hotel with flight
562161,False,F,False,26-40,1.0,2,2,1,2,2,0,8,243.0,0.5736040609137055,1096.37,,0.3860940428250258,0,1,,0.1,27.5,0.0,3364.5,0.3159758285336606,201.625,0.4148662551440329,0.25,0.07,0.0,0.25,0.25,0.25,,0.5,0.0,0.13,1.0,0.5,0.3258641700104027,,0.0881834215167548,0.0979473492455504,,0.1129032258064516,0.1875,0.24062288913909835,0.4148662551440329,0.9020526507544496,0.37868326504933697,Exclusive discounts
514002,False,F,False,26-40,2.0,5,5,5,5,5,0,8,169.0,0.3857868020304568,468.16,,0.1643790653598692,0,0,,,26.86,0.0,2540.4,0.238164479274856,201.57142857142856,0.414756025867137,0.63,0.19,0.0,0.63,0.63,0.63,,1.0,0.0,0.0,1.0,0.4,0.1842859392221697,,0.0705467372134038,0.0525824674260134,,0.3064516129032258,0.1875,0.25612460838881007,0.414756025867137,0.9474175325739866,0.4929966382027242,Exclusive discounts
494704,True,M,False,41-55,3.0,7,6,6,7,6,0,9,172.86,0.3955765047135605,273.78,,0.0957751433206629,0,1,,0.2,27.0,0.0,1449.67,0.1351776665722468,201.55555555555557,0.4147233653406493,0.78,0.26,0.0,0.67,0.78,0.67,,1.0,0.0,0.11,0.86,0.5,0.188856774300358,,0.0881834215167548,0.0540470668350056,,0.4193548387096774,0.3125,0.2284356931975741,0.4147233653406493,0.9459529331649944,0.5148167228811488,Exclusive discounts
