user_id,segmentation
23557,Free checked bag
94883,Free checked bag
101486,Free checked bag
101961,1 night free hotel with flight
106907,Free checked bag
118043,Free hotel meal
120851,Exclusive discounts
125845,1 night free hotel with flight
133058,Free checked bag
149058,1 night free hotel with flight
152583,Free checked bag
153982,1 night free hotel with flight
160754,Free checked bag
164522,Free hotel meal
167852,1 night free hotel with flight
171470,Free checked bag
174997,Free checked bag
175032,1 night free hotel with flight
181157,1 night free hotel with flight
182191,Free hotel meal
187212,Free hotel meal
189676,Free hotel meal
190866,1 night free hotel with flight
195192,1 night free hotel with flight
204943,1 night free hotel with flight
204997,1 night free hotel with flight
205044,1 night free hotel with flight
206011,Free hotel meal
216796,Free checked bag
217114,Free hotel meal
217136,Free hotel meal
220725,1 night free hotel with flight
224996,Free hotel meal
226367,1 night free hotel with flight
228195,Free hotel meal
228872,Exclusive discounts
229009,Exclusive discounts
229108,Free checked bag
229330,1 night free hotel with flight
232647,1 night free hotel with flight
249521,Free checked bag
252835,Free hotel meal
258451,1 night free hotel with flight
264470,Free hotel meal
276512,Free checked bag
281952,Exclusive discounts
283325,1 night free hotel with flight
290123,1 night free hotel with flight
297546,No cancellation fee
298253,Exclusive discounts
299476,Exclusive discounts
306165,No cancellation fee
306819,1 night free hotel with flight
312488,Free checked bag
313724,1 night free hotel with flight
316527,1 night free hotel with flight
317688,Free hotel meal
322867,Free hotel meal
324191,Exclusive discounts
328590,1 night free hotel with flight
330764,Exclusive discounts
330893,Exclusive discounts
331039,Free checked bag
334787,1 night free hotel with flight
337227,Exclusive discounts
338086,Free hotel meal
340166,Free hotel meal
343928,Exclusive discounts
347778,1 night free hotel with flight
348817,1 night free hotel with flight
348863,Free hotel meal
349132,1 night free hotel with flight
350648,Exclusive discounts
353271,Free hotel meal
353694,Free hotel meal
354050,1 night free hotel with flight
354260,Free checked bag
354311,Free checked bag
354950,Exclusive discounts
356046,1 night free hotel with flight
357737,1 night free hotel with flight
359072,Free hotel meal
359080,1 night free hotel with flight
359653,1 night free hotel with flight
361459,Free checked bag
361759,Free checked bag
363535,1 night free hotel with flight
365825,1 night free hotel with flight
371201,Free hotel meal
372970,1 night free hotel with flight
373489,Free hotel meal
374331,Exclusive discounts
374340,Free checked bag
374341,Free checked bag
375160,Free checked bag
375729,Exclusive discounts
375751,No cancellation fee
376159,Exclusive discounts
377069,Free checked bag
377411,Exclusive discounts
378565,Free hotel meal
379543,1 night free hotel with flight
380434,1 night free hotel with flight
380436,No cancellation fee
380757,1 night free hotel with flight
380874,Exclusive discounts
380949,1 night free hotel with flight
381259,Free hotel meal
381465,Free checked bag
382181,1 night free hotel with flight
382384,Exclusive discounts
382533,1 night free hotel with flight
385689,Free hotel meal
386255,Free checked bag
386469,No cancellation fee
386914,Free checked bag
387282,Free checked bag
387783,Free checked bag
388328,Free checked bag
388767,Exclusive discounts
388947,Exclusive discounts
389434,1 night free hotel with flight
389662,No cancellation fee
389759,1 night free hotel with flight
390811,1 night free hotel with flight
392453,Free hotel meal
395202,Free hotel meal
395981,1 night free hotel with flight
396552,Exclusive discounts
399137,No cancellation fee
399218,Free hotel meal
399799,No cancellation fee
400275,Exclusive discounts
400582,1 night free hotel with flight
400899,Exclusive discounts
401245,Free checked bag
402332,Free checked bag
402978,1 night free hotel with flight
403881,1 night free hotel with flight
404879,1 night free hotel with flight
405305,Free hotel meal
406210,Free hotel meal
407118,1 night free hotel with flight
407250,No cancellation fee
407275,1 night free hotel with flight
407434,Free hotel meal
407642,1 night free hotel with flight
408551,Free hotel meal
409073,Exclusive discounts
411179,1 night free hotel with flight
411701,No cancellation fee
413128,1 night free hotel with flight
